연번,분류,명칭,주소
1,노인교실,남구종합복지관 부설노인대학,동제당로 258(우암동)
2,노인교실,감만사회복지관 부설예그리나노인대학,우암로84-1(감만동)
3,노인교실,부산문현노인대학,장고개로79(문현동)
4,노인교실,용호노인대학,이기대공원로 7(용호동)
5,노인교실,대한노인회 부산남구지회 부설노인대학,용호로 201-1(용호동)
6,노인교실,감만경로대학,우암로61번길 21(감만동)
7,노인교실,문현상록대학,고동골로4번길 7-18(문현동)
8,노인교실,부산남구효도대학,"수영로345, 2층(대연3동 주민센터)"
9,노인교실,기러기노인대학,수영로39번길 35 (문현동)
10,노인교실,참사랑노인대학,동명로101번길 81(용호동)
11,노인교실,안토니오청춘대학,수영로266번길 51(대연동)
12,노인교실,한얼노인대학,고동골로69번가길 54 (문현동)
13,노인교실,한솔성경노인대학,석포로73번길 57(대연동)
14,요양기관,자이효 데이케어,부산광역시 남구 용호동
15,요양기관,참사랑재가복지서비스센터,부산광역시 남구 문현동
16,요양기관,한마음요양보호센터,부산광역시 남구 용호동
17,요양기관,남구노인주간보호센터,부산광역시 남구 대연동
18,요양기관,해피실버타운 주간보호센터,부산광역시 남구 용호동
19,요양기관,국민건강재가복지센터,부산광역시 남구 대연동
20,요양기관,호정재가복지센터,부산광역시 남구 용호동
21,요양기관,달명방문재활간호재가요양센터,부산광역시 남구 용호동
22,요양기관,엘림노인복지센터,부산광역시 남구 문현동
23,노인복지시설,남구노인복지관,부산광역시 남구 우암로 84-1
24,노인복지시설,남구종합사회복지관,부산광역시 남구 동제당로 258
25,노인복지시설,감만종합사회복지관,부산광역시 남구 못골로 97-12
26,노인복지시설,"	용호종합사회복지관",부산광역시 남구 이기대공원로 7
