시도,시설명,시설유형,시설종류,주소
부산광역시,참사랑노인건강센터,노인의료복지시설,노인요양시설,부산광역시 강서구 상덕로119번길 28-11 (강동동)
부산광역시,을숙도 노인요양원,노인의료복지시설,노인요양시설,부산광역시 강서구 낙동남로991번길 54-1 (명지동)
부산광역시,정다운 어르신의 집,노인의료복지시설,노인요양시설,부산광역시 강서구 녹산동 1101번지
부산광역시,행복한실버홈 요양원,노인의료복지시설,노인요양시설,"부산광역시 강서구 명지국제2로28번길 34, 9층 901호 (명지동, 에코팰리스)"
부산광역시,강서노인종합복지관,노인여가복지시설,노인복지관,부산광역시 강서구 체육공원로 39 (대저1동)
부산광역시,가덕도동노인복지관,노인여가복지시설,노인복지관,"부산광역시 강서구 동선길 10 (성북동, 가덕도동노인복지관)"
부산광역시,명지노인종합복지관,노인여가복지시설,노인복지관,부산광역시 강서구 명지국제13로 33 (명지동)
부산광역시,강서노인대학,노인여가복지시설,노인교실,"부산광역시 강서구 체육공원로 39, 2층 (대저1동, 강서노인종합복지관)"
부산광역시,은빛노인대학,노인여가복지시설,노인교실,부산광역시 강서구 순아강변길 5 (명지동)
부산광역시,천성한글교실,노인여가복지시설,노인교실,부산광역시 강서구 가덕해안로751번길 49 (천성동)
부산광역시,녹산노인대학,노인여가복지시설,노인교실,부산광역시 강서구 미음국제3로 16 (미음동)
부산광역시,강서구재가노인지원서비스센터,재가노인복지시설,재가노인복지시설,부산광역시 강서구 대저로63번길 31 (대저1동)
부산광역시,낙동재가노인지원서비스센터,재가노인복지시설,재가노인복지시설,부산광역시 강서구 순아강변길 5 (명지동)
부산광역시,낙동재가노인요양센터,재가노인복지시설,재가노인복지시설,부산광역시 강서구 순아강변길 5-1 (명지동)
부산광역시,하늘바람재가노인지원서비스센터,재가노인복지시설,재가노인복지시설,"부산광역시 강서구 체육공원로 39 (대저1동, 하늘바람재가노인지원서비스센터)"
부산광역시,무지개재가노인요양센터,재가노인복지시설,재가노인복지시설,부산광역시 강서구 낙동북로102번길 1 (강동동)
부산광역시,(주)현대다사랑실버 나들이복지센터,재가노인복지시설,재가노인복지시설,부산광역시 강서구 호계로145번길 8 (죽동동)
부산광역시,금빛재활주간보호센터,재가노인복지시설,재가노인복지시설,"부산광역시 강서구 낙동북로 100, 2, 3층 (강동동)"
부산광역시,가족케어재가방문요양센터,재가노인복지시설,재가노인복지시설,"부산광역시 강서구 공항로811번다길 23-3, 1층 (대저2동)"
부산광역시,늘편한방문요양센터,재가노인복지시설,재가노인복지시설,"부산광역시 강서구 화전산단4로7번길 8-16, 102호 (녹산동)"
부산광역시,해피데이케어주간보호,재가노인복지시설,재가노인복지시설,"부산광역시 강서구 명지오션시티4로 64, 8층 (명지동)"
부산광역시,공립명지치매전문주야간보호센터,재가노인복지시설,재가노인복지시설,"부산광역시 강서구 명지국제13로 33, 2층 (명지동)"
부산광역시,사랑빛노인복지센터,재가노인복지시설,재가노인복지시설,"부산광역시 강서구 신호산단5로 47-22, 1층 (신호동)"
부산광역시,가가호호방문요양센터,재가노인복지시설,재가노인복지시설,"부산광역시 강서구 명지국제4로가길 5, 101호 (명지동)"
부산광역시,사회복지법인 경성복지재단 부산강서시니어클럽,노인일자리지원기관,노인일자리지원기관,부산광역시 강서구 공항로811번가길 30 (대저2동)
부산광역시,건강사랑복지센터,재가노인복지시설,재가노인복지시설,"부산광역시 강서구 신호산단2로 29, 205호 (신호동)"
부산광역시,이레엠케어,재가노인복지시설,재가노인복지시설,"부산광역시 강서구 대저로221번나길 112, 1,2,3층 (대저1동)"
