시도,시군구,시설명,시설유형,시설종류,주소,전화번호
부산광역시,기장군,기장군노인복지관,노인여가복지시설,노인복지관,부산광역시 기장군 기장읍 대청로22번길 61,051-792-4760
부산광역시,기장군,기장군노인복지관 일광분관,노인여가복지시설,노인복지관,부산광역시 기장군 일광면 이천8길 13,051-792-4870
부산광역시,기장군,정관노인복지관,노인여가복지시설,노인복지관,부산광역시 기장군 정관중앙로 83-14,051-792-4920
부산광역시,기장군,기장실버홈,노인의료복지시설,노인요양시설,부산광역시 기장군 정관읍 곰내길 574,051-728-7011
부산광역시,기장군,효성노인건강센터,노인의료복지시설,노인요양시설,부산광역시 기장군 장안읍 한골길 159-16,051-727-5080
부산광역시,기장군,기장노인의료센터,노인의료복지시설,노인요양시설,부산광역시 기장군 일광읍 화전2길 86-25,051-722-6500
부산광역시,기장군,송암노인요양원,노인의료복지시설,노인요양시설,부산광역시 기장군 기장읍 배산로56번길 26-16,051-723-0315
부산광역시,기장군,효성제일노인건강센터,노인의료복지시설,노인요양시설,부산광역시 기장군 장안읍 오리길 109,051-714-3747
부산광역시,기장군,선양시니어빌리지,노인의료복지시설,노인요양시설,부산광역시 기장군 장안읍 천산로 63,051-711-0102
부산광역시,기장군,기장실버타운,노인의료복지시설,노인요양시설,부산광역시 기장군 기장읍 죽성로 227,051-723-8899
부산광역시,기장군,행복한어르신의집 노인요양원,노인의료복지시설,노인요양시설,부산광역시 기장군 장안읍 기장대로 1727 (행복한어르신의집),051-728-9007
부산광역시,기장군,한마음노인건강센터,노인의료복지시설,노인요양시설,부산광역시 기장군 기장읍 차성남로 91-2,051-722-5544
부산광역시,기장군,온누리요양원,노인의료복지시설,노인요양시설,부산광역시 기장군 장안읍 못안길 47,051-711-5000
부산광역시,기장군,백양원,노인의료복지시설,노인요양시설,부산광역시 기장군 일광읍 칠암3길 14,051-727-3990
부산광역시,기장군,다인요양원,노인의료복지시설,노인요양시설,부산광역시 기장군 장안읍 오리길 376-28,051-723-6636
부산광역시,기장군,주사랑재활요양원,노인의료복지시설,노인요양시설,부산광역시 기장군 기장읍 연화길 62,051-724-8181
부산광역시,기장군,효산요양원,노인의료복지시설,노인요양시설,부산광역시 기장군 철마면 철마삼동로 103,051-508-0675
부산광역시,기장군,정관스마트요양원,노인의료복지시설,노인요양시설,"부산광역시 기장군 정관읍 구연3로 11, 3,4,6층 (서울프라자)",051-921-0777
부산광역시,기장군,굿케어요양원,노인의료복지시설,노인요양시설,"부산광역시 기장군 정관읍 정관로 569, 11층 (제일타워)",051-728-0833
부산광역시,기장군,반석노인건강센터,노인의료복지시설,노인요양시설,부산광역시 기장군 장안읍 못안길 47,051-711-5000
부산광역시,기장군,해빛실버타운요양원,노인의료복지시설,노인요양시설,부산광역시 기장군 기장읍 내리길 168,051-723-8006
부산광역시,기장군,수연어르신의집,노인의료복지시설,노인요양공동생활가정,부산광역시 기장군 철마면 입석길 68,051-508-3206
부산광역시,기장군,해피케어 노인요양공동생활가정,노인의료복지시설,노인요양공동생활가정,부산광역시 기장군 철마면 강변길 20,051-581-7609
부산광역시,기장군,해강노인요양공동생활가정원,노인의료복지시설,노인요양공동생활가정,"부산광역시 기장군 정관읍 용수1길 16-10, 1,2층",051-714-7454
