 시군구, 시설신고번호, 시설명, 시설유형, 시설종류 ,운영주체구분 ,종사자수(명), 입소정원수(명), 입소인원수(명), 입소아동수(명), 운영상태, 주소,전화번호
수영구,부산수영-노인-19980327-078,하나로노인대학,노인여가복지시설,노인교실,,0,150,0,0,운영,부산광역시 수영구 망미로7번길 23 (망미동),
수영구,부산수영-기타-20130401-001,수영구가족센터,기타복지시설,기타시설,법인,0,40,0,0,운영,부산광역시 수영구 황령산로7번길 45 (남천동),
수영구,부산수영-기타-20130502-001,수영구 정신건강복지센터,정신건강증진기관,정신건강복지 지역센터,법인,28,0,0,0,운영,부산광역시 수영구 수영로 637-5 (광안동),051-610-5682
수영구,부산수영-기타-20210101-001,부산광역시 수영구 지역사회보장협의체 사무국,기타복지시설,기타시설,법인,2,0,0,0,운영,"부산광역시 수영구 광일로 25, 2층 (광안동, 수영구플러스행복센터)",051-754-0380
수영구,부산수영-노인-19890630-012,뉴비치(남)경로당,노인여가복지시설,경로당,개인,0,22,0,0,운영,부산광역시 수영구 광안해변로15번길 68 (남천동),051-611-0998
수영구,부산수영-노인-19890630-013,뉴비치(여)경로당,노인여가복지시설,경로당,개인,0,20,0,0,운영,부산광역시 수영구 남천동 557 ,051-622-3725
수영구,부산수영-노인-19890630-018,수영기로회경로당,노인여가복지시설,경로당,개인,0,22,0,0,운영,"부산광역시 수영구 수영성로 40, 203호 (수영동, 곰솔빌리지)",051-751-9868
수영구,부산수영-노인-19890630-020,수호경로당,노인여가복지시설,경로당,개인,0,73,0,0,운영,부산광역시 수영구 구락로43번길 20-10 (수영동),051-611-0998
수영구,부산수영-노인-19890630-025,은하수경로당,노인여가복지시설,경로당,개인,0,21,0,0,운영,부산광역시 수영구 망미로8번길 97-6 (망미동),051-754-4673
수영구,부산수영-노인-19890630-030,희망경로당,노인여가복지시설,경로당,행정기관,0,21,0,0,운영,부산광역시 수영구 망미번영로85번길 18 (망미동),051-757-2858
수영구,부산수영-노인-19890630-031,희망부녀노인정,노인여가복지시설,경로당,개인,0,30,0,0,운영,부산광역시 수영구 망미번영로85번길 18 (망미동),051-757-3005
수영구,부산수영-노인-19890630-032,황금경로당,노인여가복지시설,경로당,개인,0,27,0,0,운영,부산광역시 수영구 광일로29번가길 66 (광안동),051-753-2773
수영구,부산수영-노인-19890630-033,광안부녀자율쉼터경로당,노인여가복지시설,경로당,개인,0,20,0,0,운영,부산광역시 수영구 광안로35번길 79 (광안동),051-752-2342
수영구,부산수영-노인-19890630-034,호암경로당,노인여가복지시설,경로당,개인,0,20,0,0,운영,부산광역시 수영구 남천바다로9번길 52 (광안동),051-755-2340
수영구,부산수영-노인-19890630-037,민락경로당,노인여가복지시설,경로당,개인,0,20,0,0,운영,부산광역시 수영구 광안해변로255번길 25 (민락동),051-751-1278
수영구,부산수영-노인-19890630-038,민락본동경로당(남),노인여가복지시설,경로당,개인,0,25,0,0,운영,부산광역시 수영구 민락본동로27번길 10 (민락동),051-752-8511
수영구,부산수영-노인-19890630-039,민락본동경로당(여),노인여가복지시설,경로당,개인,0,35,0,0,운영,부산광역시 수영구 민락동 15-19 ,051-752-6378
수영구,부산수영-노인-19890630-051,상아아트빌라경로당,노인여가복지시설,경로당,개인,0,29,0,0,운영,부산광역시 수영구 광서로 54 (광안동),051-758-8488
수영구,부산수영-노인-19890630-053,금련경로당,노인여가복지시설,경로당,개인,0,40,0,0,운영,"부산광역시 수영구 장대골로57번가길 26-1, 1층 (광안동)",051-751-0987
수영구,부산수영-노인-19890630-055,광안장수경로당,노인여가복지시설,경로당,개인,0,60,0,0,운영,부산광역시 수영구 장대골로7번길 50-4 (광안동),051-752-4122
