분류,이름,주소
요양시설,해뜨락요양원,부산광역시 북구 덕천로381번길 14
요양시설,연우어르신의 집,부산광역시 북구 덕천로381번길 17-27
요양시설,소중애주간보호센터,부산광역시 북구 기찰로 164
요양시설,그루터기노인주간보호센터,부산광역시 북구 만덕1로 87
요양시설,화명재활데이케어센터,부산광역시 북구 금곡대로 312
요양시설,신세계재활주간보호센터,부산광역시 북구 금곡대로 83
요양시설,금곡중앙요양원,부산광역시 북구 금곡대로616번길 12
요양시설,정화노인요양원,부산광역시 북구 양달로 55
복지시설,가족사랑노인복지센터,부산광역시 북구 시랑로 12
요양시설,나무그늘 주간보호센터,부산광역시 북구 만덕대로 117
요양시설,백세주간보호센터,부산광역시 북구 모분재로 103
요양시설,(주)사랑모아도건,부산광역시 북구 금곡대로92번길 48
복지시설,나눔노인복지센터,부산광역시 북구 은행나무로36번길 104
요양시설,정성담은재활주간보호센터,부산광역시 북구 효열로219번가길 38-5
요양시설,스마일시니어세라핌재가방문요양센터,부산광역시 북구 낙동대로1762번가길 37
요양시설,송원방문요양센터,부산광역시 북구 만덕대로 125
요양시설,바른의료기,부산광역시 북구 사상로 599
요양시설,성문소규모요양시설,부산광역시 북구 금곡대로550번길 22
복지시설,가온누리재가복지센터,부산광역시 북구 만덕3로 30
복지시설,누가복지용구,부산광역시 북구 금곡대로638번길 15
복지시설,샘물복지센터,부산광역시 북구 만덕대로178번길 29
복지시설,돌봄재가복지센터,부산광역시 북구 만덕대로142번가길 51
복지시설,효자재가복지센터,부산광역시 북구 효열로 76
복지시설,사단법인효드림재가복지센터,부산광역시 북구 백양대로1102번길 15
복지시설,은하수노인복지센터,부산광역시 북구 백양대로1016번길 10
복지시설,사랑가득재가복지센터,부산광역시 북구 덕천로 194
복지시설,행운재가복지센터,부산광역시 북구 백양대로 1112
요양시설,(주)한국장기요양서비스,부산광역시 북구 만덕대로90번길 13
복지시설,사단법인 누리재가복지센터,부산광역시 북구 금곡대로638번가길 30
복지시설,(주)가온실버재가복지센터,부산광역시 북구 모분재로149번길 34
요양시설,(주)보필방문요양센터,부산광역시 북구 의성로115번길 72
복지시설,한마음재가노인복지센터,부산광역시 북구 시랑로131번길 42
