연번,분류,이름,주소
1,요양시설,아들요양원,부산광역시 사하구 천해로 131
2,요양시설,인창실버웰,부산광역시 사하구 다대로 83번길 132
3,요양시설,평화노인요양원,부산광역시 사하구 승학로 233번길 49 평화노인요양원
4,요양시설,평화양로원,부산광역시 사하구 승학로 233번길 49 (괴정동)
5,요양시설,한우리요양원,부산광역시 사하구 원양로 400 (감천동)
6,요양시설,해피빌요양원,부산광역시 사하구 다대로 83번길 111(괴정동)
7,요양시설,환희노인요양원,부산광역시 사하구 제석로 95번길 35(당리동)
8,요양시설,늘푸른노인전문 요양센터,부산광역시 사하구 낙동대로 216번길 3(괴정동)
9,요양시설,안심노인건강센터 사하점,부산광역시 사하구 다대낙조2길 3(다대동)
10,요양시설,참사랑요양원,부산광역시 사하구 다대로 235(장림동)
11,노인복지센터,경성재가 노인복지센터,부산광역시 사하구 제석로 79번길 11(당리동)
12,노인복지센터,두송 노인복지센터,부산광역시 사하구 다송로 59(다대동)
13,노인복지센터,부모사랑 노인복지센터,부산광역시 사하구 다대로 340(장림동)
14,노인복지센터,사하중앙 노인복지센터,부산광역시 사하구 승학로 123(당리동)
15,노인복지센터,서부산재활주간보호센터,부산광역시 사하구 하신중앙로 336
16,노인복지센터,인창 노인복지센터,부산광역시 사하구 낙동대로 128(괴정동)
17,노인복지센터,사하사랑채 노인복지관,부산광역시 사하구 사리로 35
18,노인복지센터,신평사랑채 노인복지관,부산광역시 사하구 다대로 130번길 34
19,노인교실,부산사하시니어 클럽,부산광역시 사하구 장평로 286-1
20,노인교실,구평노인교실,부산광역시 사하구 을숙도대로 744(구평동)
21,노인교실,내원장수대학,부산광역시 사하구 다대낙조2길 17(다대동)
22,노인교실,두송청춘대학,부산광역시 사하구 다송로59(다대동)
23,노인교실,사하복지 노인교실,부산광역시 사하구 감내2로 21(감천동)
24,노인교실,사하문화노인대학,부산광역시 사하구 하신번영로 155(신평동)
25,노인교실,서부산실버대학,부산광역시 사하구 비봉로 64
26,노인교실,실버 뇌건강 마음건강 노인교실,부산광역시 사하구 사하로 147-1(괴정동)
27,노인교실,감천청춘복지 노인대학,부산광역시 사하구 옥천로12(감천동)
28,노인교실,효사랑재가 ,부산광역시 사하구 하신중앙로 280
29,노인복지센터,만사오케이재가 복지센터,부산광역시 사하구 회화나무길 110
30,요양시설,동산노인요양원,부산광역시 사하구 낙동대로216번길 10
31,요양시설,성산간호주간보호센터,부산광역시 사하구 낙동대로216번길 3
32,요양시설,평화노인요양원,부산광역시 사하구 승학로233번길 49
33,요양시설,한우리요양원,부산광역시 사하구 원양로 400
34,요양시설,참사랑요양원,부산광역시 사하구 다대로 235
35,요양시설,해피빌요양원,부산광역시 사하구 다대로83번길 111
36,노인복지센터,사하중앙 노인복지센터,부산광역시 사하구 승학로 123
