연번,시설종류,시설명,주소,,Latitude,Longitude
1,노인복지관,부산광역시 노인종합복지관,연제구 거제천로230번길 18,,35.1910074,129.0818172
2,노인복지관,연제구 노인복지관,연제구 고분로 188,,35.185346,129.1027967
3,노인요양시설,연화원,연제구 중앙대로 1066번길 35,,35.1823062,129.0812517
4,노인요양시설,큰별요양원,연제구 과정로 132번길 66-1,,35.1826625,129.1108701
5,노인요양시설,호산노인건강센터,연제구 화지로 103,,35.1837954,129.0657479
6,재가노인복지시설,가온노인주간보호센터,연제구 과정로 307,,35.188649,129.0937381
7,재가노인복지시설,보은재가복지센터,연제구 과정로 283번나길 31,,35.1864644,129.0979998
8,재가노인복지시설,부산시 노인복지관 재가노인지원서비스센터,연제구 거제천로 230번길 18,,35.1910074,129.0818172
9,재가노인복지시설,혜원재가노인지원서비스센터,연제구 묘봉산로 31-1,,35.1835503,129.0903433
10,노인요양시설,녹원요양원,연제구 쌍미천로 84번길 99,,35.1797654,129.0900184
11,노인요양시설,보경요양원(실버홈),연제구 거제대로 128 보경빌딩 8층,,35.1796225,129.0695914
12,노인요양시설,시연실버홈,연제구 과정로 276번길 22-1,,35.1889304,129.0977468
13,노인보호전문기관,부산광역시 서부노인보호전문기관,"연제구 연제로 8번길 46, 5층",,35.1777113,129.079872
14,노인교실,거제경로대학,연제구 아시아드대로 12,,,
15,노인교실,연제정보화교실,연제구 중앙대로1150번길 35,,,
16,노인교실,대한노인회연제구지회부설노인대학,"연제구 고분로 188, 2층",,,
17,노인교실,연제노인교실,연제구 거제천로230번길 19,,,
18,노인교실,새마을노인대학,언제구 법원북로 88,,,
19,노인교실,대한노인회부산시연합회부설노인대학,연제구 거제천로230번길 18,,,
20,노인교실,송계경로대학,연제구 중앙대로1124번길 6,,,
21,노인교실,로사리오청춘대학,연제구 과정로164번길 41,,,
22,노인교실,브니엘노인교실,연제구 중앙천로73번길 15,,,
23,노인교실,예성노인대학,연제구 중앙천로39번길 14,,,
24,노인교실,문화실버대학,연제구 거제천로230번길 3,,,
