이름,종류,주소
영도구효어르신데이케어센터,노인복지,부산 영도구 꿈나무길 17
영도구노인복지관,노인복지,부산 영도구 절영로 29번길 14
영도요양원,요양,부산 영도구 중리로 35
영도구노인복지관분관,노인복지,부산 영도구 봉래길 372
파랑새노인건강센터,노인복지,부산 영도구 와치로 78
부산영도시니어클럽,노인복지,부산 영도구 대교로 46번길 50
순풍방문요양센터,요양,부산 영도구 청학로 76
봉래나루다누리센터,노인복지,부산 영도구 대교로 46번길 50
동삼장기요양기관,요양,부산 영도구 동삼북로 2
봉래2동마을건강센터,노인복지,부산 영도구 봉래쉼터길 63
금잔디노인복지센터,노인복지,부산 영도구 동삼로50번길 22-4
가화재가노인복지센터,노인복지,부산 영도구 동백꽃길 4
편한방문요양센터,요양,부산 영도구 영도새싹길 20
봉산재가복지센터,노인복지,부산 영도구 하나길 746
로뎀재가노인복지센터,노인복지,부산 영도구 태종로 356
다사랑노인복지센터,노인복지,부산 영도구 근면2길 41
안정재가노인복지센터,노인복지,부산 영도구 참샘길 109
금빛종합복지센터,노인복지,부산 영도구 영선대로 47-1
참재가복지센터,노인복지,부산 영도구 청학동로 50
신선도래샘사랑방,노인복지,부산 영도구 중복길 380
건강재가복지센터,노인복지,부산 영도구 태종로 424
로뎀나무사회서비스센타,노인복지,부산 영도구 태종로 393
고운손재가복지센터,노인복지,부산 영도구 동삼남로 31번길 3
더조은복지센터,노인복지,부산 영도구 남항시장길 205
참편한재가복지센터,노인복지,부산 영도구 절영로 161
다행복센타,노인복지,부산 영도구 영선대로 57-1
평화재가복지센터,노인복지,부산 영도구 태종로 387
희망영도노인복지센터,노인복지,부산 영도구 절영로 97
영도다복하우스,노인복지,부산 영도구 청학서로 75-1
윤정은빛종합복지센터,노인복지,부산 영도구 남항로 48
함께재가복지센터,노인복지,부산 영도구 절영로 161
효재가복지센터,노인복지,부산 영도구 청학북로 36번길 2
샬롬재가복지센터,노인복지,부산 영도구 절영로 126
행복드림노인복지센터,노인복지,부산 영도구 청학로 91
영도중앙노인복지센터,노인복지,부산 영도구 대교로 50
늘푸른재가노인복지센터,노인복지,부산 영도구 꿈나무길 210
장미재가복지센터,노인복지,부산 영도구 남항새싹길 190
스마일노인복지센터,노인복지,부산 영도구 중리로 24
"대한노인회
영도구지회
부설 노인대학",노인교실,부산 영도구 절영로49번길 2
영도구노인교실,노인교실,부산 영도구 신선동 산전길 138
와치노인교실,노인교실,부산 영도구 함지로 79번길 76
절영은빛노인대학,노인교실,부산 영도구 함지로 33 - 10
상리노인대학,노인교실,부산 영도구 상리로 63 - 16
동삼노인대학,노인교실,부산 영도구 동삼북로2
영도새마을금고노인대학,노인교실,부산 영도구 태종로 361
땅끝교회늘푸른대학,노인교실,부산 영도구 대교로 50
모세노인교실,노인교실,부산 영도구 영상길 3
늘푸른실버대학,노인교실,부산 영도구 일산봉로 21
제4영도교회노인교실,노인교실,부산 영도구 봉래쉼터길 37
