시설이름,분류,주소
송산노인전문요양원,요양원,부산 중구 충장대로13번길 31
굿모닝 노인요양원,요양원,부산 중구 대영로 235 제일빌딩 1층 굿모닝 요양원
부산광역시중구노인복지회관,복지관,부산 중구 책방골목길 3-1
중구노인복지관분관,복지관,부산 중구 영주로 8-1
부산중구시니어클럽,노인교실,부산 중구 중앙공원로 107 로얄플러스빌 1층
한울타리재가노인복지센터,재가노인요양센터,"부산 중구 흑교로 55 한웅베어스 301호, 201호"
선한데이케어센터,재가노인요양센터,부산 중구 대청로 109 5층
효나눔복지센터,재가노인요양센터,부산 중구 동영로93번길 3
다온재가복지센터,재가노인요양센터,부산 중구 중구로 81 새들상가 205호
심청이재가노인복지센터,재가노인요양센터,부산 중구 보수대로140번길 65 1층 심청이재가복지센터
감동재가복지센터,재가노인요양센터,부산 중구 보수대로 136 2층
나눔재가복지센터,재가노인요양센터,부산 중구 초량중로6번길 9
우리재가복지센터,재가노인요양센터,부산 중구 보수대로 82 골든시티O/T 510호
햇살재가복지센터,재가노인요양센터,부산 중구 흑교로35번길 4 2층
돌보미재가복지센터,재가노인요양센터,부산 중구 흑교로 45-1 2층
행복나눔아트센터,노인교실,부산 중구 동영로 10-2
참사랑재가노인복지센터,재가노인요양센터,부산 중구 대청로 53
효진재가노인복지센터,재가노인요양센터,부산 중구 동광길 15
감동재가복지센터,재가노인요양센터,부산 중구 중구로 83 새들맨션
부산실버재가노인복지센터,재가노인요양센터,부산 중구 영주로 29-1 1층
자애재가노인복지센터,재가노인요양센터,부산 중구 보수대로124번길 58
성부재가노인복지센터,재가노인요양센터,부산 중구 흑교로 43-1
효자효녀노인복지센터,복지센터,부산 중구 흑교로81번길 4
대현재가노인복지센터,재가노인요양센터,부산 중구 보수대로140번길 47
