읍면동,65세이상 전체 노인수,독거노인수,합계(남),만65-79세(남),만80세이상(남),합계(여),만65-79세(여),만80세이상(여),,전체 평균
거제1동,5614,1488,369,275,94,1119,703,416,,1180.25
거제2동,3000,494,118,92,26,376,265,111,,
거제3동,2992,814,222,160,62,592,368,224,,
거제4동,2396,545,169,145,24,376,250,126,,
연산1동,3865,877,240,202,38,637,483,154,,
연산2동,4311,1281,426,333,93,855,591,264,,
연산3동,2685,873,287,239,48,586,416,170,,
연산4동,4358,1358,475,384,91,883,598,285,,
연산5동,3176,1105,440,359,81,665,472,193,,
연산6동,4555,1572,444,355,89,1128,728,400,,
연산8동,3076,1381,453,394,59,928,663,265,,
연산9동,7660,2375,660,548,112,1715,1144,571,,
