,노인교실,요양기관관,일자리센터,공유오피스,부동산,도서관 및 사적지,독거노인 비율,,면적
해운대,0.37,0.19,0.155520995,0.155520995,24.90279938,1.555209953,9.6,,51.44
강서구,0.02,0.1,0.011428571,0,16.61835749,0.652173913,5.2,,41.4
금정구,0.21,0.14,0.017796761,0.088983805,8.63629391,0.859027458,10.4,,65.19
기장군,0.01,0.1,0.009178522,0.018357045,2.303809087,0.133088573,8.8,,217.9
동구,0.61,1.64,0.102354145,0.307062436,21.39201638,0.818833163,15,,9.77
동래구,0.78,0.54,0.060096154,0.180288462,20.75718016,3.665865385,9.5,,16.64
북구,0.42,1.15,0,0.104438642,11.35770235,1.723237598,10.5,,38.3
남구,0.5,0.35,0.038595137,0.308761096,35.26376147,2.46559633,9.7,,17.44
부산진구,0.54,0.27,0.067340067,0.168350168,35.65656566,1.986531987,10.1,,29.7
사상구,0.28,0.25,0.027901786,0.055803571,9.849330357,0.5859375,10.4,,35.84
서구,0.29,0.59,0,0,13.53328456,1.097293343,14.2,,13.67
연제구,0.91,0.5,0.165562914,0.248344371,61.83774834,3.145695364,9.8,,12.08
영도구,0.79,0.29,0.071530758,0,10.37195994,1.001430615,15.9,,13.98
중구,0.71,6.79,0.357142857,1.071428571,14.75903614,0.100401606,15,,9.96
수영구,0.79,0.79,0.196850394,0.295275591,63.97637795,2.755905512,10,,10.16
사하구,0.24,0.39,0.024455857,0.048911714,12.69258988,1.29616043,10.5,,40.89
