,노인교실,요양기관,노인복지시설,도서관,스터디카페,일자리센터,공유오피스,건강수명
해운대,0.37,0.19,0.45,0.155520995,1.030326594,0.155520995,0.155520995,70.66
강서구,0.02,0.1,0.03,0.022857143,0.12,0.011428571,0,70.44
금정구,0.21,0.14,0.04,0.071187044,0.676276918,0.017796761,0.088983805,70.64
기장군,0.01,0.1,0.01,0.004589261,0.0826067,0.009178522,0.018357045,69.89
동구,0.61,1.64,0.31,0.204708291,0.716479017,0.102354145,0.307062436,67.03
동래구,0.78,0.54,3.49,0.180288462,3.245192308,0.060096154,0.180288462,70.21
북구,0.42,1.15,0.76,0,1.279373368,0,0.104438642,69.89
남구,0.5,0.35,0.15,0.077190274,1.543805481,0.038595137,0.308761096,69.8
부산진구,0.54,0.27,1.89,0.101010101,2.491582492,0.067340067,0.168350168,69.1
사상구,0.28,0.25,1.03,0.027901786,0.5859375,0.027901786,0.055803571,68.55
서구,0.29,0.59,1.32,0.07315289,0.950987564,0,0,66.81
연제구,0.91,0.5,0.5,0.413907285,1.821192053,0.165562914,0.248344371,70.36
영도구,0.79,0.29,2.43,0.143061517,0.715307582,0.071530758,0,64.68
중구,0.71,6.79,1.07,0.357142857,0,0.357142857,1.071428571,64.99
수영구,0.79,0.79,4.04,0,2.263779528,0.196850394,0.295275591,70.06
사하구,0.24,0.39,0.24,0.073367572,0.978234287,0.024455857,0.048911714,68.56
