,노인교실,요양기관관,노인복지시설,도서관,스터디카페,일자리센터,공유오피스,의료시설,부동산,교육지원,도서관 및 사적지,운동시설,유원지 및 오락시설,목욕탕 및 신체관리시설,세탁시설,가정용품 수리시설,독거노인 비율
해운대,0.37,0.19,0.45,0.155520995,1.030326594,0.155520995,0.155520995,307,1281,160,80,319,302,127,186,330,9.6
강서구,0.02,0.1,0.03,0.022857143,0.12,0.011428571,0,47,688,27,27,182,89,35,53,48,5.2
금정구,0.21,0.14,0.04,0.071187044,0.676276918,0.017796761,0.088983805,108,563,54,56,199,268,73,131,76,10.4
기장군,0.01,0.1,0.01,0.004589261,0.0826067,0.009178522,0.018357045,70,502,32,29,141,163,43,91,61,8.8
동구,0.61,1.64,0.31,0.204708291,0.716479017,0.102354145,0.307062436,44,209,30,8,69,75,67,35,86,15
동래구,0.78,0.54,3.49,0.180288462,3.245192308,0.060096154,0.180288462,203,795,41,61,240,249,112,126,86,9.5
북구,0.42,1.15,0.76,0,1.279373368,0,0.104438642,124,435,44,66,163,270,77,93,74,10.5
남구,0.5,0.35,0.15,0.077190274,1.543805481,0.038595137,0.308761096,135,615,89,43,173,206,80,105,80,9.7
부산진구,0.54,0.27,1.89,0.101010101,2.491582492,0.067340067,0.168350168,438,1059,97,59,318,293,134,181,167,10.1
사상구,0.28,0.25,1.03,0.027901786,0.5859375,0.027901786,0.055803571,88,353,24,21,184,250,90,96,67,10.4
서구,0.29,0.59,1.32,0.07315289,0.950987564,0,0,43,185,20,15,61,65,42,55,38,14.2
연제구,0.91,0.5,0.5,0.413907285,1.821192053,0.165562914,0.248344371,160,747,44,38,156,153,75,104,72,9.8
영도구,0.79,0.29,2.43,0.143061517,0.715307582,0.071530758,0,40,145,20,14,59,67,39,64,30,15.9
중구,0.71,6.79,1.07,0.357142857,0,0.357142857,1.071428571,51,147,11,1,61,87,47,39,52,15
수영구,0.79,0.79,4.04,0,2.263779528,0.196850394,0.295275591,124,650,48,28,145,139,75,87,66,10
사하구,0.24,0.39,0.24,0.073367572,0.978234287,0.024455857,0.048911714,148,519,38,53,229,266,114,156,95,10.5
