연번,소재지,Latitude,Longitude,주택유형,용도지역,전용면적(제곱미터),밀집구역포함여부
1,부산광역시 수영구 민락동 141-38,35.1651379,129.1196225,단독,제2종일반주거지역,164,미포함
2,부산광역시 수영구 민락동 141-14,35.1652202,129.1196129,단독,제2종일반주거지역,173.2,미포함
3,부산광역시 수영구 민락동 714-16,35.1552704,129.1206946,단독,제3종일반주거지역,30,미포함
4,부산광역시 수영구 민락동 714-15,35.1552761,129.1207497,단독,제3종일반주거지역,30,미포함
5,부산광역시 수영구 망미동 441-23,35.1755509,129.105746,단독,제2종일반주거지역,144.3,미포함
6,부산광역시 수영구 민락동 223-14,35.1567727,129.1229862,단독,제3종일반주거지역,33,미포함
7,부산광역시 수영구 민락동 715-13,35.1553617,129.1197243,단독,제3종일반주거지역,26,미포함
8,부산광역시 수영구 민락동 716-22,35.1556181,129.1202834,단독,제3종일반주거지역,26,미포함
9,부산광역시 수영구 민락동 121-9,35.1575445,129.1288947,단독,준주거지역,322,미포함
10,부산광역시 수영구 광안동 1065-9,35.1663558,129.1105038,단독,제2종일반주거지역,281.7,미포함
11,부산광역시 수영구 광안동 1068-24,35.1665828,129.1124481,단독,제2종일반주거지역,164.6,미포함
12,부산광역시 수영구 민락동 717-3,35.155817,129.1206534,단독,제3종일반주거지역,53,미포함
13,부산광역시 수영구 망미동 198-14,35.1783721,129.1166392,단독,제2종일반주거지역,160.7,미포함
14,부산광역시 수영구 광안동 124-21,35.1604529,129.1174862,단독,제2종일반주거지역,168.6,미포함
15,부산광역시 수영구 민락동 189-11,35.1574108,129.1243457,단독,제3종일반주거지역,33,미포함
16,부산광역시 수영구 민락동 223-12,35.1568158,129.122922,단독,제3종일반주거지역,63,미포함
17,부산광역시 수영구 민락동 189-12,35.1574019,129.124293,단독,제3종일반주거지역,40,미포함
18,부산광역시 수영구 광안동 1038-21,35.1701846,129.1103341,단독,준주거지역,135,미포함
19,부산광역시 수영구 민락동 189-2,35.1574924,129.1243724,단독,제3종일반주거지역,36,미포함
20,부산광역시 수영구 광안동 1055-198(302호),35.165636,129.1092295,다세대,제2종일반주거지역,70.1,미포함
