연번,입력일자,건물주소,건물구조,건물용도,건물규모,정비여부,정비일자,정비방법,경도,위도
1,2024-08-19,연산동340-4,조적조(철근),공동주택,"연면적 547.02㎡, 지상3층",Y,2023-10-16,기타(),129.0941128,35.1870933
2,2024-08-19,거제동 766-44 ,조적조(블럭),단독주택,"연면적 34.89㎡, 지상1층",Y,2023-06-16,기타(),129.064898,35.180451
3,2024-08-19,연산동 1938-62,조적조(블럭),단독주택,"연면적 56.19㎡, 지상1층",Y,2023-06-16,기타(),129.0880986,35.1741636
4,2024-08-19,연산동 374-29 ,조적조(블럭),공동주택,"연면적 341.89㎡, 지하2층/지상2층",Y,2022-10-17,기타(),129.0977157,35.1860487
5,2024-08-19,연산동 663-74 ,조적조(벽돌),단독주택,"연면적 153.02㎡, 지상2층",Y,2022-05-07,기타 (),129.0884952,35.1786685
6,2021-04-09,거제동 765-8,조적조(블럭),단독주택,"연면적 29.75㎡, 지상1층",Y,2021-06-03,기타 (),129.06549,35.18114964
7,2021-04-09,거제동 766-9,조적조(블럭),단독주택,"연면적 36.2㎡, 지상1층",Y,2021-06-03,기타 (),129.0652817,35.1811695
8,2021-04-09,거제동 766-15,조적조(블럭),단독주택,"연면적 71.96㎡, 지상1층",Y,2021-06-03,기타 (),129.0652695,35.18107947
9,2020-11-01,거제동 760-6,조적조(철근),단독주택,"연면적 300.59㎡, 지하1층/지상2층",Y,2021-07-06,기타 (),129.0658823,35.18008254
10,2020-07-09,거제동 산 64-2,블럭조,단독주택,"연면적 44㎡, 지상 1층",Y,2020-07-28,기타 (),129.0647319,35.18194953
11,2020-04-23,연산동 1207-2,블럭조,단독주택,"연면적 50㎡, 지상1층",Y,2020-05-14,기타 (),129.0851454,35.18220078
12,2019-07-11,연산동 산161-1,조적조(블럭),단독주택,"연면적 52㎡, 지상1층",Y,2019-11-27,기타 (),129.0949509,35.16839331
13,2018-06-04,연산동 1919-26,블럭조,단독주택,"연면적 39.67㎡, 지상 1층",Y,2018-12-14,기타 (),129.0868951,35.17509115
14,2017-08-18,연산동 1941-142,블럭조,단독주택,"연면적 19.83㎡, 지상1층",Y,2017-09-12,기타 (),129.0868703,35.17323452
15,2016-11-15,연산동 1811-771,블럭조,단독주택,"연면적 40㎡, 지상1층",Y,2016-11-29,기타 (),129.0948005,35.17191008
16,2015-06-02,거제동 317-22,조적조(블럭),단독주택,"연면적 39.6㎡, 지상 1층",Y,2016-02-03,기타 (),129.0758634,35.19266768
17,2015-06-02,거제동 305-11,조적조(블럭),단독주택,"연면적 22㎡, 지상 1층",Y,2016-02-05,기타 (),129.0765118,35.19270698
18,2015-06-02,거제동 298-7,조적조(블럭),단독주택,"연면적 49.5㎡, 지상 1층",Y,2016-02-12,기타 (),129.0763507,35.1938081
19,2015-06-02,거제동 300-78,조적조(블럭),단독주택,"연면적 70.08㎡, 지상 1층",Y,2015-09-25,자진철거,129.0772322,35.19321435
20,2015-06-02,거제동 309-6,조적조(블럭),단독주택,"연면적 33㎡, 지상 1층",Y,2016-02-12,기타 (),129.0759473,35.19236947
21,2015-06-02,거제동 316-1,조적조(벽돌),단독주택,"연면적 117.73㎡, 지상 2층",Y,2015-09-25,기타 (),129.0754572,35.19267129
22,2015-06-02,거제동 316-7,조적조(블럭),단독주택,"연면적 39.7㎡, 지상 1층",Y,2016-02-05,기타 (),129.0754447,35.19255422
23,2015-06-02,거제동 316-9,조적조(블럭),단독주택,"연면적 45.32㎡, 지상 2층",Y,2015-09-25,기타 (),129.0756856,35.19250701
24,2015-06-02,거제동 300-54,조적조(블럭),단독주택,"연면적 38.68㎡, 지상 1층",Y,2015-09-25,기타 (),129.0767003,35.1936788
25,2015-06-02,거제동 317-10,조적조(블럭),단독주택,"연면적 51.57㎡, 지상 1층",Y,2015-09-25,기타 (),129.0757214,35.19272302
26,2015-06-02,거제동 318-22,조적조(블럭),단독주택,"연면적 30.1㎡, 지상 1층",Y,2016-02-05,기타 (),129.0752246,35.1933494
27,2015-06-02,거제동 299-1,조적조(블럭),단독주택,"연면적 30.1㎡, 지상 1층",Y,2016-02-05,기타 (),129.0766791,35.19373307
28,2015-06-02,거제동 301-3,조적조(블럭),단독주택,"연면적 30.1㎡, 지상 1층",Y,2016-02-05,기타 (),129.076632,35.19349011
29,2015-06-02,거제동 300-57,조적조(블럭),단독주택,"연면적 27.75㎡, 지상 1층",Y,2015-09-25,기타 (),129.0767211,35.19358847
30,2015-06-02,거제동 305-8,조적조(블럭),단독주택,"연면적 60.49㎡, 지상 1층, 2개동",Y,2015-09-25,자진철거,129.076732,35.19275009
31,2015-06-02,거제동 306-6,조적조(벽돌),단독주택,"연면적 138.61㎡, 지상 2층",Y,2015-12-23,기타 (),129.0767832,35.1924702
