소재지,Latitude,Longitude,도로명,주택유형,건축년도,건축구조,전용면적,건축면적,연면적,대지면적
부산광역시 해운대구 중동 1500-9,35.1577521,129.179283,달맞이길117번가길 97,아파트,1991,철근콘크리트구조,234.51,529.02,3147.84,726.9
부산광역시 해운대구 중동 1499-16,35.1583076,129.1795198,달맞이길117번나길 15-17,다세대,1992,철근콘크리트구조,27,150.67,634.8,318.4
부산광역시 해운대구 중동 1499-4,35.1583541,129.1794002,달맞이길117번나길 15-19,다세대,1992,철근콘크리트구조,27,150.67,634.8,318.3
부산광역시 해운대구 중동 1493-21,35.1591882,129.1806999,달맞이길117번다길 130-1,단독주택,1985,벽돌구조,,96.87,157.9,0
부산광역시 해운대구 중동 1506-8,35.1606609,129.1765551,달맞이길117번다길 17,아파트,1991,철근콘크리트구조,141.6,564.46,3454.93,233.9
부산광역시 해운대구 중동 1405-10,35.1610181,129.1639395,해운대해변로 302,아파트,1975,철근콘크리트구조,32.69,253.42,1652.72,430
부산광역시 해운대구 중동 1405-10,35.1610181,129.1639395,해운대해변로 302,아파트,1975,철근콘크리트구조,30.05,253.42,1652.72,430
부산광역시 해운대구 중동 1405-10,35.1610181,129.1639395,해운대해변로 302,아파트,1975,철근콘크리트구조,32.69,253.42,1652.72,430
부산광역시 해운대구 중동 1405-10,35.1610181,129.1639395,해운대해변로 302,아파트,1975,철근콘크리트구조,30.05,253.42,1652.72,430
부산광역시 해운대구 중동 1405-10,35.1610181,129.1639395,해운대해변로 302,아파트,1975,철근콘크리트구조,32.69,253.42,1652.72,430
부산광역시 해운대구 중동 943-5,35.1609674,129.1710836,달맞이길62번길 6-10,단독주택,1974,블록구조,,55.07,55.07,99
부산광역시 해운대구 중동 1485-6,35.1608827,129.1811882,달맞이길117번라길 58,다세대,1980,벽돌구조,46.21,184.79,415.76,316.7
부산광역시 해운대구 중동 1484-19,35.1613727,129.1819849,달맞이길117번라길 76,단독주택,1988,벽돌구조,,99.63,126.35,276.4
부산광역시 해운대구 중동 1483-29,35.1614272,129.1827457,달맞이길117번다길 178,다세대,1991,철근콘크리트구조,20.12,162.98,580.63,297.5
부산광역시 해운대구 중동 1484-30,35.1617572,129.1826291,달맞이길117번다길 181,다세대,1991,벽돌구조,25.2,117.66,329.22,298.3
부산광역시 해운대구 중동 1484-7,35.1621306,129.1826499,달맞이길117번라길 96,다세대,1996,철근콘크리트구조,65.05,148.78,619.93,254.5
부산광역시 해운대구 중동 800-1,35.1624259,129.1720923,좌동순환로468번길 28-8,단독주택,1987,벽돌구조,,90.03,158.91,161
부산광역시 해운대구 우동 548-34,35.1626864,129.1605678,구남로21번길 11-6,단독주택,1985,블록구조,,83.24,83.24,145
부산광역시 해운대구 중동 1484-3,35.1623151,129.1831206,달맞이길117번다길 197,연립,1992,철근콘크리트구조,115.24,246.37,1288,528.3
부산광역시 해운대구 우동 613-3,35.1627639,129.1606717,구남로21번길 13-5,단독주택,1985,블록구조,,36,36,56
부산광역시 해운대구 중동 1158-2,35.1626459,129.1679058,달맞이길 29-15,단독주택,1968,블록구조,,43.47,43.47,86
부산광역시 해운대구 중동 794,35.1628085,129.173208,,단독주택,1953,일반목구조,,26.45,26.45,182
부산광역시 해운대구 중동 849,35.1631352,129.1741582,좌동순환로468번길 65-1,단독주택,1953,시멘트블럭조,,0,108.95,215
부산광역시 해운대구 중동 1221-1,35.163427,129.1669322,해운대해변로 339-5,다세대,2000,철근콘크리트구조,39,189.85,659.18,256
부산광역시 해운대구 중동 831,35.1634817,129.1726901,좌동순환로468번나길 9-9,단독주택,1969,시멘트블럭조,,0,54.6,132
부산광역시 해운대구 중동 1214-2,35.1636606,129.1669976,해운대해변로 339-9,단독주택,1938,일반목구조,,52.89,52.89,250
부산광역시 해운대구 중동 1477-4,35.1633009,129.1843717,달맞이길117번나길 175-19,다세대,1997,철근콘크리트구조,25.86,146.94,643.35,283.9
부산광역시 해운대구 중동 1477-4,35.1633009,129.1843717,달맞이길117번나길 175-19,다세대,1997,철근콘크리트구조,25.86,146.94,643.35,283.9
부산광역시 해운대구 중동 1376-15,35.1642022,129.1640122,중동2로24번길 3-6,단독주택,1974,벽돌구조,,70.4,124.28,155.9
부산광역시 해운대구 중동 1376-19,35.1642595,129.1638994,중동2로26번길 6,다가구주택,1976,블록구조,,78.58,144.14,155
부산광역시 해운대구 중동 1679,35.1644348,129.1626235,중동1로17번길 32-13,단독주택,1974,블록구조,,25.78,25.78,65.2
부산광역시 해운대구 중동 1645,35.1644369,129.1638431,중동2로26번길 11,단독주택,1997,기타조적구조,,66.2,132.4,89
부산광역시 해운대구 중동 1266-4,35.164474,129.1676204,해운대해변로351번길 17,단독주택,1969,블록구조,,49.59,49.59,86
부산광역시 해운대구 중동 1266-1,35.1645226,129.1677951,해운대해변로351번길 21,단독주택,1970,블록구조,,56.66,56.66,205
