연번,시군구,소재지,등급,주택유형,용도지역,면적,밀집구역 포함여부,주소,Latitude,Longitude
,CategoryFilter,StringFilter,,CategoryFilter,CategoryFilter,,CategoryFilter,MapsTooltip - Hidden - StringFilter,MapsLat - Hidden - NoFilter,MapsLong - Hidden - NoFilter
1,부산광역시 금정구,구서동 420-45(101호),1,다세대,일반상업지역,60.5,미포함,부산광역시 금정구구서동 420-45(101호),35.2446439,129.0916126
2,부산광역시 금정구,구서동 816-6(지하),1,연립,제2종일반주거지역,198.9,미포함,부산광역시 금정구구서동 816-6(지하),35.2585581,129.0879316
3,부산광역시 금정구,금사동 26-1(307호),1,연립,제2종일반주거지역,43.5,미포함,부산광역시 금정구금사동 26-1(307호),35.2245349,129.1143265
4,부산광역시 금정구,금사동 26-17,2,단독,제2종일반주거지역,154,미포함,부산광역시 금정구금사동 26-17,35.2235742,129.1136919
5,부산광역시 금정구,금사동 358(201호),1,다세대,제2종일반주거지역,80.6,미포함,부산광역시 금정구금사동 358(201호),35.2217715,129.1112051
6,부산광역시 금정구,금사동 416-2(107호),1,연립,제2종일반주거지역,53.1,미포함,부산광역시 금정구금사동 416-2(107호),35.2230313,129.1113385
7,부산광역시 금정구,금사동 58-18,1,단독,제2종일반주거지역,159,미포함,부산광역시 금정구금사동 58-18,35.2215722,129.1105871
8,부산광역시 금정구,금사동 58-6,2,단독,제2종일반주거지역,176.8,미포함,부산광역시 금정구금사동 58-6,35.221951,129.1108585
9,부산광역시 금정구,금사동 64-8(203호),1,다세대,제2종일반주거지역,49.8,미포함,부산광역시 금정구금사동 64-8(203호),35.214792,129.1150708
10,부산광역시 금정구,금사동 68-14(207호),1,연립,준공업지역,48.9,미포함,부산광역시 금정구금사동 68-14(207호),35.2204424,129.1125598
11,부산광역시 금정구,금사동 68-14(306호),1,연립,준공업지역,29.3,미포함,부산광역시 금정구금사동 68-14(306호),35.2204424,129.1125598
12,부산광역시 금정구,금성동 532,3,단독,자연녹지지역,289.3,미포함,부산광역시 금정구금성동 532,35.2513843,129.0559731
13,부산광역시 금정구,남산동 101-1(402호),1,연립,제2종일반주거지역,26.5,미포함,부산광역시 금정구남산동 101-1(402호),35.2680769,129.0902032
14,부산광역시 금정구,남산동 130-28,1,단독,제3종일반주거지역,112.8,미포함,부산광역시 금정구남산동 130-28,35.2613721,129.0903139
15,부산광역시 금정구,남산동 130-29,1,단독,제3종일반주거지역,111.3,미포함,부산광역시 금정구남산동 130-29,35.2613534,129.0904343
16,부산광역시 금정구,남산동 18-19,2,단독,제2종일반주거지역,127.3,미포함,부산광역시 금정구남산동 18-19,35.2711309,129.0898062
17,부산광역시 금정구,남산동 962-24,2,단독,제2종일반주거지역,237.5,미포함,부산광역시 금정구남산동 962-24,35.2721477,129.0853433
