구분,명칭,주소
취업정보센터,금정구 취업정보센터,부산광역시 금정구 중앙대로 1777 (부곡동)
도서관,금샘도서관,부산 금정구 기찰로 94
도서관,금정도서관,부산 금정구 금정도서관로 33
도서관,부산광역시립서동도서관,부산 금정구 서부로76번길 5
도서관,금정북파크,부산 금정구 중앙대로 1610 대동빌딩 1층
공유오피스,카페24창업센터 부산대점,부산 금정구 금강로 246
일자리센터,금정구 취업정보센터,부산광역시 금정구 중앙대로 1777
공유오피스,패스파인더 부산대점,"부산광역시 금정구 금강로 271, 3, 4, 6층"
공유오피스,패스파인더 메이커스페이스점,"부산광역시 금정구 금강로 271-5, 6층"
공유오피스,카페24창업센터 부산대점,부산광역시 금정구 장전동 423-17
공유오피스,피앤유 에이벡,부산광역시 금정구 장전동 383-22
스터디카페,다짐스터디카페 장전점,부산 금정구 금강로335번길 21
스터디카페,르하임스터디카페 부산대점,부산 금정구 부산대학로 29 2층 (장전동)
스터디카페,일취월장 관리형스터디카페 명륜부곡점,부산 금정구 부곡로 10 라이프빌딩 2층 (부곡동)
스터디카페,화이트펜슬스터디카페 구서점,부산 금정구 금강로 528 4층 (구서동)
스터디카페,커피브라운,부산 금정구 금강로279번길 81-6 (장전동)
스터디카페,멘토즈 부산대점,"부산 금정구 금정로 72 4,5층 (장전동)"
스터디카페,공본스터디카페 부산대센터,부산 금정구 금강로 250 3층 (장전동)
스터디카페,고센스터디카페 부산대점,부산 금정구 부산대학로 24 3층 (장전동)
스터디카페,더파고스터디카페 본점,부산 금정구 오시게로 22 6층 (부곡동)
스터디카페,화이트펜슬스터디카페 서동점,부산 금정구 서동로 168 8층 (서동)
스터디카페,어라운드스터디카페 부곡점,부산 금정구 중앙대로 1667 삼신빌딩 4층 (부곡동)
스터디카페,하우스터디카페 부산구서점,부산 금정구 중앙대로 1920 협성엠파이어 2층 (구서동)
스터디카페,화이트펜슬스터디카페 장전점,부산 금정구 금강로 361 2층 (장전동)
스터디카페,더스터디카페 장전역점,부산 금정구 부곡온천천로 116 경남빌딩
스터디카페,화이트펜슬스터디카페 남산점,부산 금정구 두실로 14 5층 (남산동)
스터디카페,이룸스터디카페,부산 금정구 서부로64번길 15 2층 (서동)
스터디카페,르하임스터디카페 부산구서점,부산 금정구 구서로 2 정우빌딩
스터디카페,화이트펜슬 부산대점,부산 금정구 금정로60번길 24 해자빌딩 6층 (장전동)
스터디카페,지니24스터디카페 구서역점,부산 금정구 중앙대로1841번길 3 2층 (구서동)
스터디카페,세인트스터디카페,"부산 금정구 금강로335번길 23 2,3층 (장전동)"
스터디카페,이루리스터디카페 온천장역점,부산 금정구 시실로 11-3 순흥빌딩 5층 (부곡동)
스터디카페,안집스터디카페,부산 금정구 부산대학로63번길 37-5 (장전동)
스터디카페,더베스트스터디카페 구서점,부산 금정구 중앙대로1841번길 23 (구서동)
스터디카페,더집중스터디&카페,부산 금정구 부산대학로 53-1 (장전동)
스터디카페,엘리트 스터디카페,부산 금정구 중앙대로 2094 4층 (남산동)
스터디카페,아스트라스터디카페,부산 금정구 금정로 147-1 2층 (장전동)
스터디카페,중심스터디카페,부산 금정구 중앙대로 1817-5 동남빌딩
스터디카페,셀독24스터디카페 두실역점,부산 금정구 중앙대로 1911 5층 (구서동)
스터디카페,초심스터디카페 부산대점,부산 금정구 부산대학로 49 6층 (장전동)
스터디카페,A플러스스터디카페,부산 금정구 금강로 247-8 2층 (장전동)
스터디카페,멘토즈스터디카페 남산역점,부산 금정구 중앙대로 2027 새생명빌딩 2층 (남산동)
스터디카페,공감스터디카페 구서점,부산 금정구 금강로 494
스터디카페,멘토즈독서실스터디카페 부산부곡점,부산 금정구 수림로20번길 36 (부곡동)
스터디카페,작심스터디카페 부산대북문점,부산 금정구 금강로321번길 45 (장전동)
스터디카페,북카페러리 멘토즈 스터디카페 부산남산역점,부산 금정구 중앙대로 2027 새생명빌딩 (남산동)
스터디카페,네오스터디카페,부산 금정구 부산대학로 29 네오스퀘어 1층 108호 (장전동)
스터디카페,그로잉스터디카페 구서점,부산 금정구 중앙대로1945번길 60 2층 (구서동)
스터디카페,더베스트스터디카페 구서본점,부산 금정구 중앙대로1841번길 23 현대타운 가동
스터디카페,스터디&카페 구서센터,"부산 금정구 중앙대로 1911 4,5층 (구서동)"
스터디카페,AT스터디카페 2호점북문점,부산 금정구 금강로335번길 16 2층 (장전동)
스터디카페,스터디고 동래온천점,부산 금정구 식물원로 25 2층 (장전동)
스터디카페,일취월장 관리형 스터디카페 장전점,부산 금정구 장전로 42 2층 (장전동)
스터디카페,스터디카페 커피엔스타,부산 금정구 금정로60번길 24 3층 (장전동)
스터디카페,올스터디카페,부산 금정구 부산대학로64번길 14 (장전동)
스터디카페,어라운드스터디카페 부산구서점,부산 금정구 금강로 477 구서골드2상가
스터디카페,S플랜스터디카페,부산 금정구 부산대학로 62-1 (장전동)
스터디카페,드림스터디카페 구서점,부산 금정구 구서로 2 정우빌딩 3층 (구서동)
