이름,분류,주소
기장도서관,도서관,부산광역시 기장군 차성동로126번길 13-5
노블레스스터디카페,스터디카페,부산광역시 기장군 기장읍 대라리 1001
작심스터디카페부산기장점,스터디카페,부산광역시 기장군 기장읍 동부리 152-3
하베르스터디카페,스터디카페,부산광역시 기장군 정관읍 용수리 1328-6
화이트펜슬스터디카페일광점,스터디카페,부산광역시 기장군 일광면 삼성리 825-2
그로잉스터디카페정관점,스터디카페,부산광역시 기장군 정관읍 매학리 579
르하임스터디카페부산정관신도시점,스터디카페,부산광역시 기장군 정관읍 매학리 718-4
정관더원스터디라운지,스터디카페,부산광역시 기장군 정관읍 용수리 1366-10
하우스터디부산정관스터디카페,스터디카페,부산광역시 기장군 정관읍 매학리 721-10
골든브릿지스터디카페기장대청점,스터디카페,부산광역시 기장군 기장읍 대청로 28
하우스터디부산기장스터디카페,스터디카페,부산광역시 기장군 기장읍 동부리 365-2
인베이스터디카페기장점,스터디카페,부산광역시 기장군 기장읍 대라리 244-2
리게인스터디카페,스터디카페,부산광역시 기장군 일광면 삼성리 227
정관굿스터디카페,스터디카페,부산광역시 기장군 정관읍 정관중앙로 45
플랜에이스터디카페정관지점,스터디카페,부산광역시 기장군 정관읍 용수리 1366-5
리게인스터디카페부산기장점,스터디카페,부산광역시 기장군 기장읍 교리 241-2
르하임스터디카페정관모전점,스터디카페,부산광역시 기장군 정관읍 모전리 738-1
부산정관청담스터디카페,스터디카페,부산광역시 기장군 정관읍 매학리 713-2
정관크라스독서실,독서실,부산광역시 기장군 정관읍 모전리 738-1
기장군취업정보센터,일자리센터,부산광역시 기장군 기장읍 기장대로 560
기장여성새로일하기센터,일자리센터,부산 기장군 기장읍 기장대로 560
워킷공유오피스,공유오피스,부산 기장군 정관읍 정관로 566 
스테이션케이,공유오피스,부산 기장군 정관읍 정관중앙로 45 탑스퀘어
투윙스오피스,공유오피스,부산 기장군 정관읍 정관8로 28 네오코아빌딩 
스타워크,공유오피스,부산 기장군 정관읍 정관로 569 제일타워 
