연번,분류,시설이름,주소지
1,일자리지원시설,청년두드림센터,부산광역시 부산진구 가야대로 772
2,일자리지원시설,청년창조발전소 디자인스프링,부산광역시 부산진구 대학로36번길 10
3,청년임대주택,청년임대주택,부산광역시 부산진구 당감로6번길 16(당감동) 신화타운
4,도서관,부산진구어린이청소년도서관,부산광역시 부산진구 백양순환로110번길 25
5,도서관,시민도서관,부산광역시 부산진구 월드컵대로 462
6,도서관,중앙도서관분관부산영어도서관,부산광역시 부산진구 가야대로 734
7,도서관,부전도서관,부산광역시 부산진구 동청로 79
8,스터디카페,토즈 서면점,부산광역시 부산진구 부전동 233-1
9,스터디카페,초심스터디카페 부산서면점,부산광역시 부산진구 부전동 198-3 2층
10,스터디카페,서면 도심속도서관 스터디카페,부산광역시 부산진구 부전동 225-5
11,스터디카페,르하임스터디카페 부산서면점,부산광역시 부산진구 부전동 170-1 4층
12,스터디카페,타임유스터디카페 부산서면점,부산광역시 부산진구 부전동 197-1 6층
13,스터디카페,멘토즈스터디카페 부산개금점,부산광역시 부산진구 개금동 198-1 5층
14,스터디카페,화이트펜슬 스터디카페 양정점,부산광역시 부산진구 양정동 353-20 수강빌딩 2층
15,스터디카페,플랜트스터디카페 개금라운지,부산광역시 부산진구 개금동 527-189 2층
16,스터디카페,르하임스터디카페 부산개금점,부산광역시 부산진구 개금동 177-243
17,스터디카페,셀독24스터디카페 전포역점,부산광역시 부산진구 전포동 689-7 YB스퀘어 10층
18,스터디카페,멘토즈스터디카페 초읍연지점,부산광역시 부산진구 초읍동 269-48 2층
19,스터디카페,그린베어 양정스터디카페,부산광역시 부산진구 양정동 399-21 3층
20,스터디카페,시작스터디카페 부산가야점,부산광역시 부산진구 가야동 265-8 6층
21,스터디카페,작심스터디카페 부산전포부전점,부산광역시 부산진구 전포동 595-21
22,스터디카페,플랜트 스터디카페 양정라운지,부산광역시 부산진구 양정동 507-21
23,스터디카페,르하임 스터디카페 부산양정점,부산광역시 부산진구 양정동 353-12
24,스터디카페,멘토즈 스터디카페 당감화승점,부산광역시 부산진구 부암동 504
25,스터디카페,플랜에이 스터디카페 부산서면센터,부산광역시 부산진구 전포동 692-1
26,스터디카페,화이트펜슬 스터디카페 당감점,부산광역시 부산진구 당감동 734-21 
27,스터디카페,르하임 스터디카페 부산초읍점,부산광역시 부산진구 초읍동 291-19
28,스터디카페,화이트펜슬 스터디카페 부산초읍연지점,부산광역시 부산진구 초읍동 219-3
29,스터디카페,하우스터디 스터디카페 부산가야점,부산광역시 부산진구 가야동 375-3
30,스터디카페,화이트펜슬 스터디카페 서면부전역점,부산광역시 부산진구 전포동 584
31,스터디카페,작심스터디카페 부산서면점,부산광역시 부산진구 부전공 198-4
32,스터디카페,르하임 스터디카페 부산당감점,부산광역시 부산진구 당감동 300-1
33,스터디카페,화이트펜슬 스터디카페 전포 놀이마루점,부산광역시 부산진구 전포동 683-1
34,스터디카페,in 숲 스터디카페 개금점,부산광역시 부산진구 개금동 540-236
35,스터디카페,세인트 스터디카페 3호점,부산광역시 부산진구 양정동 353-18
36,스터디카페,화이트펜슬 스터디카페 가야점,부산광역시 부산진구 가야동 379-3
37,스터디카페,화이트펜슬 스터디카페 가야공원점,부산광역시 부산진구 가야동 501-2
38,스터디카페,스터디카페53,부산광역시 부산진구 개금동 53-5
39,스터디카페,골든브릿지 스터디카페 초읍점,부산광역시 부산진구 초읍동 219-13
40,스터디카페,별빛 스터디카페,부산광역시 부산진구 당감동 810-1
41,스터디카페,시너지플레이스 스터디카페 부산연지점,부산광역시 부산진구 연지동 353-1
42,스터디카페,르하임 스터디카페 부산부암점,부산광역시 부산진구 부암동 722-3
43,스터디카페,제이엠 스터디카페 ,부산광역시 부산진구 초읍동 105-7
44,스터디카페,로체 스터디카페 양정점,부산광역시 부산진구 양정동 507-23
45,스터디카페,와라 스터디카페,부산광역시 부산진구 부암동 538-1
46,스터디카페,24시 스터디카페 인제의대점,부산광역시 부산진구 개금동 633-3
47,스터디카페,세인트 스터디카페 4호점,부산광역시 부산진구 양정동 365-5
48,스터디카페,하이스퀘어 스터디룸,부산광역시 부산진구 부전동 241-17
49,스터디카페,더베스트 스터디카페 양정본점,부산광역시 부산진구 양정동 393-12
50,스터디카페,모임공간&스터디룸 숨,부산광역시 부산진구 전포동 660-1
51,스터디카페,공간 스터디카페,부산광역시 부산진구 부전동 223-5
52,스터디카페,스터디고 부산서면전포점,부산광역시 부산진구 전포동 339-31
53,스터디카페,지게이트 스터디라운지 개금,부산광역시 부산진구 개금동 515-3
54,스터디카페,화이트펜슬 스터디카페 부암점,부산광역시 부산진구 부암동 318-76
55,스터디카페,공휴 스터디라운지,부산광역시 부산진구 양정동 363-4
56,스터디카페,블랜드 스터디룸,부산광역시 부산진구 부전동 226-9
57,스터디카페,스터디로드,부산광역시 부산진구 부암동 528-1
58,스터디카페,셀독24 스터디카페 서면송상현광장점,부산광역시 부산진구 전포동 874-1
59,스터디카페,이솝 스터디카페 당감점,부산광역시 부산진구 당감동 495-9 
60,스터디카페,봄날 스터디카페,부산광역시 부산진구 부암동 722-2
61,스터디카페,화이트펜슬 스터디카페 본사,부산광역시 부산진구 부전동 403-8
62,스터디카페,더블유 스터디카페 ,부산광역시 부산진구 부전동 187-7
63,스터디카페,뚜벅스 서면,부산광역시 부산진구 전포동 345-5
64,스터디카페,빅타임 스터디카페,부산광역시 부산진구 전포동 172-1
65,스터디카페,책읽는정원카페북가든,부산광역시 부산진구 부전동 222-3
66,스터디카페,도도라운지,부산광역시 부산진구 부전동 225-1
67,스터디카페,그린1인 독서실,부산광역시 부산진구 연지동 179-4
68,스터디카페,다다르다 부산가야센터,부산광역시 부산진구 가야동 596-20
69,스터디카페,바짝독서실 부산당감센터,부산광역시 부산진구 당감동 731-2
70,스터디카페,별당 스터디카페 부산가야점,부산광역시 부산진구 가야동 50-5
71,스터디카페,아카데이프라자 부암센터,부산광역시 부산진구 부암동70-4
72,스터디카페,아카데미프라자 양정센터독서실,부산광역시 부산진구 양정동 369-21
73,스터디카페,프렌즈스터디 독서실,부산광역시 부산진구 전포동 903
74,스터디카페,헤베스라운지 독서실,부산광역시 부산진구 전포동 362-88
75,스터디카페,라라비안코 스터디카페,부산광역시 부산진구 부전동 474-8
76,공유오피스,위워크 서면 공유오피스,부산 부산진구 서전로 8 3층
77,공유오피스,카페24창업센터 부산범일점,부산 부산진구 신암로 9 범천빌딩 6층
78,공유오피스,오피스야,부산 부산진구 동성로 137 B1
79,공유오피스,셀렉스페이스,부산 부산진구 동천로 16 유성넥스빌 2F 201호
80,공유오피스,다음세대플러스,부산 부산진구 동평로39번길 64 2층
