연번,분류,이름,주소
1,스터디카페,르하임스터디카페 부산사상점,부산 사상구 사상로 208-1 티오피빌딩 9층 901-902호 (괘법동)
2,스터디카페,멘토즈스터디카페 사상역점,부산 사상구 광장로 84 하이앤드빌딩 3층 (괘법동)
3,스터디카페,화이트펜슬스터디카페 사상터미널점,부산 사상구 사상로 235 4층 (괘법동)
4,스터디카페,화이트펜슬스터디카페 냉정점,부산 사상구 가야대로 370 동서빌딩 8층 (주례동)
5,스터디카페,화이트펜슬스터디카페 모라점,부산 사상구 백양대로 900 금호빌딩 5층 (모라동)
6,스터디카페,뉴럭키스터디카페,부산 사상구 냉정로 141 해동빌딩 201호 (주례동)
7,스터디카페,골든브릿지스터디카페,부산 사상구 백양대로 698 신라빌딩 3층 (덕포동)
8,스터디카페,멘토즈스터디카페 부산주례점,부산 사상구 백양대로 370 7층 (주례동)
9,스터디카페,멘토즈스터디카페 럭키주례점,부산 사상구 가야대로 276 7층 701호 (주례동)
10,스터디카페,청담스터디카페 부산모라점,부산 사상구 백양대로 945 (모라동)
11,스터디카페,시작스터디카페 부산학장점,부산 사상구 대동로 100-1 5층 (학장동)
12,스터디카페,이루리스터디카페 학장점,부산 사상구 대동로 129 2층 (학장동)
13,스터디카페,비허밍스터디카페 부산주례점,부산 사상구 가야대로 283 3층 (주례동)
14,스터디카페,화이트펜슬스터디카페 엄궁점,부산 사상구 낙동대로 790 (엄궁동)
15,스터디카페,취뽀스터디,부산 사상구 광장로86번길 6 지하 1층 (괘법동)
16,스터디카페,플랜트스터디카페 냉정역라운지,부산 사상구 주례로 10 2층 (주례동)
17,스터디카페,비허밍스터디카페 부산학장점,부산 사상구 학감대로 103 교회빌딩 2층 (학장동)
18,스터디카페,사상스터디카페,부산 사상구 운산로 56 3층 (괘법동)
19,스터디카페,화이트펜슬스터디카페 부산주례점,부산 사상구 백양대로 498 2층 (주례동)
20,스터디카페,플랜트스터디카페 학장라운지,부산 사상구 대동로 105
21,스터디카페,더싸이 무인스터디카페 엄궁점,부산 사상구 엄궁로179번길 7 2층 (엄궁동)
22,도서관,사상도서관,부산광역시 사상구 덕상로72번길 9
23,공유오피스,공유오피스 도약,부산 사상구 사상로 123 2층
24,공유오피스,RIS 재직자교육 공유오피스,부산 사상구 낙동대로960번길 77 4층 405호
25,창업지원센터,사상구창업지원센터,부산 사상구 진사로36번길 46
