연번,분류,이름,주소
1,스터디카페,멘토즈스터디카페 부산괴정점,부산 사하구 낙동대로233번길 5 샘터빌딩 4~6층 (괴정동)
2,스터디카페,시작스터디카페 부산당리점,부산 사하구 낙동대로 436 4층 (당리동)
3,스터디카페,르하임스터디카페 부산괴정역점,부산 사하구 사하로 200 형지빌딩 10층 1001호 (괴정동)
4,스터디카페,아이비스터디카페,부산 사하구 다대로 247 bc빌딩 7층 701호 (장림동)
5,스터디카페,화이트펜슬스터디카페 당리점,"부산 사하구 낙동대로390번길 20 2,3층 (당리동)"
6,스터디카페,골든브릿지 스터디카페 장림점,부산 사하구 두송로26번길 60 2층 (장림동)
7,스터디카페,멘토즈스터디카페 부산하단점,부산 사하구 하신번영로 407 웰빙프라자
8,스터디카페,화이트펜슬스터디카페 하단점,부산 사하구 낙동대로516번길 56 캠퍼스프라자 3층 (하단동)
9,스터디카페,키포닝스터디카페,부산 사하구 사하로 163 세림빌딩 1동 4층 401호 (괴정동)
10,스터디카페,다다르다스터디카페 부산다대센터,부산 사하구 다대로 483 현대빌딩 4층 401호 (다대동)
11,스터디카페,인에이블스터디카페 낫개점,부산 사하구 다대로 423 5층 (다대동)
12,스터디카페,화이트펜슬 스터디카페 부산하단역점,부산 사하구 낙동남로 1400 5층 502호 (하단동)
13,스터디카페,화이트펜슬 신평점,부산 사하구 하신중앙로 176 호크마상가 4층 401호 (신평동)
14,스터디카페,인에이블스터디카페 다대포점,부산 사하구 다대낙조1길 53 6층 (다대동)
15,스터디카페,지게이트 스터디카페,부산 사하구 사하로141번나길 30 2층 (괴정동)
16,스터디카페,화이트펜슬 스터디카페 괴정점,부산 사하구 사하로186번길 6 7층 (괴정동)
17,스터디카페,하우스터디 부산장림스터디카페,부산 사하구 다대로 328 사하 리버팰리스 2층 (장림동)
18,스터디카페,르하임스터디카페 부산동아대점,부산 사하구 낙동대로 551 성전빌딩 8층 (하단동)
19,스터디카페,작심스터디카페 부산다대2동점,부산 사하구 다송로 68 6층 (다대동)
20,스터디카페,리즈스터디카페 신평점,부산 사하구 하신번영로 187-1 5층 (신평동)
21,스터디카페,리움스터디카페,부산 사하구 낙동대로 406 청아빌딩 5층 (당리동)
22,스터디카페,골든브릿지스터디카페 하단점,부산 사하구 낙동남로1347번길 45 2층 (하단동)
23,스터디카페,무한스터디카페 다대점,부산 사하구 다대낙조2길 85 상가 4층 408호 (다대동)
24,스터디카페,캐롯스터디카페 부산다대포점,부산 사하구 다대낙조1길 5 3층 (다대동)
25,스터디카페,머스트스터디카페,부산 사하구 동매로15번길 22 (하단동)
26,스터디카페,버나비스터디카페,부산 사하구 감천로 49 4층 (감천동)
27,스터디카페,멘토즈스터디카페 사하구평점,부산 사하구 서포로30번길 9 더스퀘어 8층 (구평동)
28,스터디카페,무한스터디카페 낫개역점,부산 사하구 다대로429번길 12 삼환아파트 상가1동
29,스터디카페,무한스터디카페 다대블루점,부산 사하구 다송로 38 6층 (다대동)
30,스터디카페,스카이미라클,부산 사하구 다대로 702 4층 (다대동)
31,스터디카페,멘토즈스터디카페 사하당리점,부산 사하구 낙동대로 392 6층 (당리동)
32,스터디카페,두잇스터디카페 부산신평센터,"부산 사하구 하신번영로201번길 9 5,6층 (신평동)"
33,스터디카페,스텔라잉글리쉬카페,부산 사하구 낙동대로 542 대우에덴프라자 1층 120호 (하단동)
34,스터디카페,지게이트 스터디카페 다대포점,부산 사하구 다대낙조1길 53 (다대동)
35,스터디카페,아이덴 스터디카페 괴정역점,부산 사하구 낙동대로 225 6층 (괴정동)
36,스터디카페,메타스터디카페,부산 사하구 낙동대로 547 (하단동)
37,스터디카페,하우스터디독서실 부산다대센터,부산 사하구 다대로429번길 12 삼환종합상가 4층 (다대동)
38,스터디카페,베이직스터디카페 구평점,부산 사하구 서포로30번길 10 4층 (구평동)
39,스터디카페,하영차 스터디,부산 사하구 낙동대로 542 지하1층 109호 (하단동)
40,스터디카페,하우스터디 다대스터디카페,부산 사하구 다대로429번길 12 (다대동)
41,도서관,사상도서관,부산광역시 사상구 덕상로72번길 9
42,도서관,다대도서관,부산광역시 사하구 다대낙조2길 9
43,도서관,사하도서관,부산광역시 사하구 승학로 247
44,공유오피스,엔비즈 소호사무실 부산점,부산 사하구 장평로41번길 42
45,공유오피스,카페24 창업센터 부산사하점,부산 사하구 낙동대로 534 4층
46,일자리센터,부산사하고용복지+센터,부산 사하구 낙동남로 1400
